Device,Auth_Sweep,Intra_Distance,Mean_Inter_Distance,Min_Inter_Distance,Max_Inter_Distance,Separation_Ratio
20,3,1.248354031451435,65.71844813330033,7.1616445337395325,139.70353569832918,52.64407848344919
20,4,1.2629471529373892,65.67732191719918,7.2183019973296005,139.6423579522508,52.00322218108118
20,5,1.3394477163544614,65.76705847741789,7.1079865311729025,139.7603546897981,49.10013073553405
200,2,2.283097875705207,60.9566127913688,8.344125004743482,132.7579649961518,26.699079865575023
200,3,2.7595894932552385,61.30371042432995,8.437128140578025,133.28992074663378,22.214793306038995
200,4,2.708296051752051,61.268211302682154,8.440453422506852,133.23094459856057,22.622420114234675
200,5,2.818392080356756,61.32430491635996,8.471044719109972,133.31185086620926,21.758613759307504
202,2,8.631350624345544,54.53649750215849,7.244617934782106,122.05350378568508,6.318419887282637
202,3,8.512979679602976,54.489537933052354,7.267413826642033,121.97793498161326,6.4007597715287865
202,4,7.878346279385733,54.112654366416606,7.569554751328232,121.3369491258697,6.868529559219936
202,5,7.824638274731801,54.0455635589312,7.735754059416658,121.17371698175631,6.907100570308813
203,2,4.009275365319706,54.54642932651876,8.030265921700014,121.98819432233054,13.605059323761004
203,3,6.02254829298413,53.445136333315325,7.841676957472148,119.9141179849656,8.87417313146889
203,4,6.035539372938201,53.44805569046825,7.909280818636895,119.89320633643862,8.855555783723318
203,5,6.342046464585348,53.27528111796909,7.9315324626027985,119.56267803649712,8.400329661956995
204,2,0.9202259895427661,75.09854910786983,8.954100961680567,150.610417139099,81.608810384823
204,3,1.1588602617066506,74.89252065165346,9.05187102389325,150.3686759314301,64.62601443861686
204,4,1.702287633910765,74.3989061547874,9.262368769023956,149.8139998005876,43.70524947468128
204,5,1.7475216055433125,74.34402545537392,9.194965707963572,149.75947580664072,42.54254985696416
205,2,0.7308438276315261,78.83567289429052,8.609233993883452,154.41288809026935,107.86938171330326
205,3,0.5304167966760956,79.04209382511557,8.82188334475624,154.61752218182508,149.01883354797883
205,4,0.24185839281624275,79.29871299397063,8.769141444144779,154.90933778322278,327.8724744338098
205,5,0.31536988435397617,79.24703549637402,8.811385847696585,154.8543292706302,251.28281714622352
206,2,2.999713350502446,59.12781636632028,7.644888006096296,130.44291308214477,19.711155454005276
206,3,4.699758280512143,58.001985553323564,6.73462189455707,128.72352422846225,12.341482682294062
206,4,5.50962227053326,57.52544911413064,6.466172651244262,127.97101412040813,10.440906142945778
206,5,5.198599006696183,57.73332351164587,6.624043751953965,128.29245906648893,11.105554270722845
207,2,3.0964321612272894,41.37555296946173,7.260042149874309,122.62735511211898,13.362331445181402
207,3,3.934829084024685,41.47208691650285,6.964041576278529,123.39673314890149,10.539742877138206
207,4,4.781704588328327,41.61095900587504,6.637609979974795,124.26254278927777,8.70211828234269
207,5,4.579657566269043,41.573719664613975,6.67032019543019,124.04987472052963,9.077910077827973
208,2,3.5271144204403932,55.959218566065765,10.358788444344889,122.70198186679293,15.865438921719003
208,3,3.225116133428745,56.16338816227346,10.452540713136965,123.03251660464994,17.41437692924882
208,4,1.2650786340592413,57.272859572157365,9.939936949170855,125.08994410420836,45.272173268522415
208,5,0.886380470753318,57.60026645350665,9.65377280639003,125.71383753886238,64.98368105370875
209,2,0.5106780212976274,57.30362053827888,7.956626348590531,127.17827174865555,112.2108589489761
209,3,0.42434443162938523,57.38223754450761,7.968035941519661,127.30358528681143,135.2256137117597
209,4,0.46004377614034514,57.424378848505995,7.975075962861625,127.39178243426252,124.82372456387792
209,5,0.4993383341399685,57.447664483137316,8.012724891109741,127.42910131000232,115.04757276768292
21,2,1.832063296753757,43.830637537968144,8.127332297929604,93.48066558215731,23.924193763605196
21,3,3.9850941707108505,44.32415620231944,7.8570956183637515,95.35712818992597,11.122486494011296
21,4,1.6224366880628103,43.69697583372131,8.175564354186223,92.93526589642802,26.93293111891238
21,5,1.3217395216886478,43.55663819006465,8.33187713748346,92.69154897253456,32.954025468555756
210,2,1.824580032236742,68.54593252634706,5.728269829096361,143.1510535366136,37.56806001358921
210,3,2.473380750730277,68.09419004947601,5.948009781731728,142.5838534960269,27.530815768685322
210,4,2.5871320206506403,68.01287611491529,5.997508334835796,142.4787332327698,26.288908068526624
210,5,2.418850962085638,68.1325887066366,5.927045212186485,142.62895054400389,28.167336265404447
211,2,0.20223860072475144,46.217551356530244,7.741356566370486,100.25779703026376,228.5298103606573
211,3,0.4830820472514815,46.13330268323952,7.888751162639827,99.85579308022469,95.49786002344437
211,4,0.7508779583157201,46.07110806364532,8.01765721501655,99.57507841865082,61.35631887959974
211,5,1.1860704544675573,45.97646988187215,8.245363042867277,99.15031422276805,38.76369175292768
212,2,1.603082887363454,57.95144411505267,6.215105940177871,128.80355022358052,36.14999836275704
212,3,2.601033676258396,57.38013408328658,6.46439287736676,127.8613818587506,22.06051170595498
212,4,2.1833380375879994,57.61696641601315,6.330767833243546,128.25405078350695,26.389393286882157
212,5,2.3132202181035386,57.53794767947417,6.393978198446458,128.1276501775403,24.87352781219878
213,2,2.558260383084861,59.28940028107988,5.6489069810273245,130.99107171425572,23.175670639839034
213,3,3.2014498715401856,58.85537088617148,5.766730032705854,130.3113764334545,18.38397384433104
