Device,N_Sweeps,Mean_Intra_Distance,Std_Intra_Distance,Max_Intra_Distance,First_Last_Distance,Drift_Per_Sweep
191,5,2.5909761598819725,1.6672183049266573,5.404786030190379,5.404786030190377,1.3511965075475942
192,5,0.4223102817010121,0.12235520774300804,0.6197664634267948,0.3114001248249654,0.07785003120624134
193,5,1.6925726134201562,0.7722722318421389,3.288394791298422,2.4326652435001943,0.6081663108750486
194,5,2.929074431388476,2.145000884548812,6.5415445545099535,5.553737927533071,1.3884344818832677
195,5,2.1429987626398956,1.5691571466888472,4.787354809035962,3.291940409913124,0.822985102478281
196,5,2.614711252251556,1.938891317240637,5.662710455164702,4.900190496053404,1.225047624013351
197,5,2.152326800570024,1.72692672570957,4.758627494762452,4.758627494762452,1.189656873690613
198,5,0.8281395162231661,0.3011587126645958,1.2861793652285092,1.28617936522851,0.3215448413071275
199,5,0.4903575636099512,0.20488131902061066,0.9180166656341789,0.5754030424163658,0.14385076060409144
2,5,1.0582149877042641,0.6758859019550478,2.039530369776245,0.6090982993729332,0.1522745748432333
20,5,2.124476667751108,1.7483018225695544,4.505971410715974,1.3394477163544614,0.33486192908861534
200,5,1.3414747918688124,1.081558133497505,2.8183920803567575,2.818392080356756,0.704598020089189
202,5,3.6747836762443287,3.717799424554423,8.63135062434555,7.824638274731801,1.9561595686829503
203,5,3.0429709024433467,2.297709147965196,6.342046464585341,6.342046464585348,1.585511616146337
204,5,0.9186768045119209,0.4788807309725019,1.7475216055433138,1.7475216055433125,0.4368804013858281
205,5,0.4253332321944635,0.1495762827070397,0.7308438276315262,0.31536988435397617,0.07884247108849404
206,5,2.694769572908011,1.7878556570381177,5.50962227053326,5.198599006696183,1.2996497516740457
207,5,2.2439234881053145,1.6119088149064449,4.781704588328321,4.579657566269043,1.1449143915672608
208,5,2.1382310097719412,1.0636635372375056,3.5271144204403915,0.886380470753318,0.2215951176883295
209,5,0.36774218270076947,0.10502089554449444,0.5106780212976276,0.4993383341399685,0.12483458353499212
21,5,2.0475560880987604,1.1213695249403615,3.9850941707108505,1.3217395216886478,0.33043488042216196
210,5,1.2068918712947712,0.952735834975958,2.587132020650641,2.418850962085638,0.6047127405214096
211,5,0.6633553994685282,0.32062712952277284,1.2081577887034407,1.1860704544675573,0.29651761361688933
212,5,1.2354904340464474,0.8223007766119385,2.6010336762583983,2.3132202181035386,0.5783050545258847
213,5,1.635812900695532,1.2285059569278052,3.4888089730518295,3.1303168701280035,0.7825792175320009
214,5,1.344283036241141,0.8546852421578307,2.6855790731521836,1.8644664416799706,0.46611661041999264
215,5,2.263334240545986,1.4251323324117393,4.281856733170222,4.217995507236554,1.0544988768091386
216,5,2.6876999094425744,2.168112650152991,5.669489048729599,5.669489048729603,1.4173722621824008
217,5,0.4796328581320446,0.1879422733496887,0.8981866109016509,0.5677452112114227,0.14193630280285569
218,5,2.4622516728639514,1.6181384978547515,4.5511628414726495,4.551162841472648,1.137790710368162
219,5,0.6977470259221408,0.2849432461862077,1.2998284798509039,0.4976998241440907,0.12442495603602267
22,5,1.0534494534958658,0.6401371609755292,1.9904636094698778,1.065377699293732,0.266344424823433
220,5,1.6686687070425372,0.8533327194901883,3.2900340652598814,2.4833583465631763,0.6208395866407941
221,5,4.161348047847964,2.581684892501495,8.35054787656625,8.350547876566248,2.087636969141562
222,5,2.4817360465808607,1.1627121787446129,4.258499799759969,4.258499799759965,1.0646249499399913
223,5,1.5673327384355051,1.0092540498745564,3.1543300739199425,2.4721296403186135,0.6180324100796534
224,5,0.6749114384727075,0.30427472112550663,1.016738982905928,1.016738982905927,0.25418474572648175
225,5,1.475413786223498,0.8684618274274113,3.0271597408169653,3.0271597408169697,0.7567899352042424
226,5,3.097569206118336,2.1371488174847437,6.550218915935462,6.239489830766189,1.5598724576915473
227,5,2.934874311778838,2.8417596755093593,6.856936543894773,6.856936543894775,1.7142341359736937
228,5,2.6646393276852747,1.7390454507482385,5.133138649116162,5.1331386491161615,1.2832846622790404
229,5,0.8746123312332813,0.47157386794769174,1.8565469848999663,1.8565469848999672,0.4641367462249918
23,5,1.2782620887807628,0.8487982097449491,2.1171629935656604,2.1171629935656604,0.5292907483914151
230,5,0.5564626092333382,0.22714486487065094,1.0365917632461312,0.855570120849442,0.2138925302123605
231,5,3.7164651571995804,2.5686171213523195,8.069312006234584,8.06931200623459,2.0173280015586474
232,5,1.9676791082936778,1.0512643763370306,3.9025118119400357,3.902511811940034,0.9756279529850085
233,5,5.055529973478057,2.7059361249775105,9.502415830187786,9.502415830187772,2.375603957546943
234,5,1.400666737928701,1.1594587582283453,3.036501184193933,2.8343540767543858,0.7085885191885964
235,5,5.7624943746346995,3.5928958891191307,11.489971638316373,11.489971638316389,2.872492909579097
236,5,1.416157473141784,0.8114004943994004,2.7491526138684694,2.61180604072269,0.6529515101806725
237,5,0.9374710680021243,0.48030087239463637,1.9681896043363816,0.730614376722528,0.182653594180632
238,5,3.1955528781176414,2.8613809438107944,7.039345547168529,7.03934554716853,1.7598363867921325
239,5,1.5407170262148537,0.8737463119920167,3.051386822592978,3.0513868225929794,0.7628467056482449
24,5,0.8898358654346913,0.2757513882313546,1.3838794123609504,1.206465612316019,0.3016164030790047
240,5,1.9626886389975422,1.4113506142257546,4.272551074930619,4.272551074930613,1.0681377687326532
241,5,2.1045221659137896,1.0476429007158976,3.902692675626544,3.9026926756265428,0.9756731689066357
242,5,3.1320776876765946,1.5875540725921267,5.837479304539423,5.837479304539422,1.4593698261348556
243,5,0.6126283280395542,0.3079730457603441,1.0839698418216515,0.7997227766750576,0.1999306941687644
